Aquafon,28967,,
A-Mobile,28968,,
A-Mobile,28988,,
Afghan Wireless/AWCC,41201,,
Roshan (Telecom Development Company Afghanistan),41220,,
Etisalat,41230,,
Areeba (MTN),41240,,
Etisalat,41250,,
Afghan Telecom Corp. (AT),41280,,
Afghan Telecom Corp. (AT),41288,,
AMC Mobil,27601,,
Vodafone,27602,,
Eagle Mobile,27603,,
PLUS Communication Sh.a,27604,,
ATM Mobils,60301,,
Orascom / DJEZZY,60302,,
Wataniya / Nedjma,60303,,
Blue Sky Communications,54411,,
American Samoa Telecom,544998,,
Mobiland (Servei De Tele. Dandorra) (Andorra Telecom),21303,,
Unitel,63102,,
Angola Telecom (AKA MoviCel),63103,,
MoviCel,63104,,
Digicell / Wireless Vent. Ltd / Weblinks,365010,,
Digicell,365050,,
Cable and Wireless,365840,,
APUA PCS  (Antigua Public Utilities Authority) / imobile,344030,,
Digicel,344050,,
LIME (C & W),344920,,
Cing. Wirel./Digicel,344930,,
Movistar (Compania De Radiocomunicaciones Moviles SA),722010,,
Nextel /  NII Holdings Inc (AG),722020,,
Globalstar,722040,,
Movistar/Telefonica,722070,,
Claro/ CTI/AMX,722310,,
Claro/ CTI/AMX,722320,,
Claro/ CTI/AMX,722330,,
Telecom Personal S.A.,722340,,
Telecom Personal S.A.,722341,,
PORT-HABLE (Hutchison Telecommunications Argentina),722350,,
Beeline/ArmenTel (Armenia Telephone Company),28301,,
Karabakh Telecom,28304,,
Vivacell (K Telecom CJSC),28305,,
Orange,28310,,
Setar GSM,36301,,
Digicel,36302,,
Digicel / New Millenium Telecom Services (NMTS),36320,,
Telstra Corp. Ltd.,50501,,
Singtel Optus,50502,,
Vodafone,50503,,
Department of Defense,50504,,
The Ozitel Network Pty.,50505,,
Vodafone Hutchinson Australia (AKA Crazy John's),50506,,
Vodafone,50507,,
Railcorp/Vodafone,50508,,
Airnet Commercial Australia Ltd..,50509,,
Telstra Corp. Ltd.,50511,,
Vodafone Hutchinson Australia (AKA Crazy John's),50512,,
Railcorp/Vodafone,50513,,
AAPT Ltd.,50514,,
Victorian Rail Track Corp. (VicTrack),50516,,
Lycamobile Pty Ltd,50519,,
Advanced Comm Tech Pty.,50524,,
Dialogue Communications Pty Ltd,50526,,
Thales Australia,50532,,
Vodafone (previously Crazy John's),50538,,
Telstra Corp. Ltd.,50571,,
Telstra Corp. Ltd.,50572,,
Localstar Holding Pty. Ltd,50588,,
Singtel Optus,50590,,
Railcorp/Vodafone,50599,,
Fix Line,23200,,
A1 MobilKom,23201,,
A1 MobilKom,23202,,
T-Mobile,23203,,
T-Mobile,23204,,
Orange/One Connect (Drei/Three),23205,,
Orange/One Connect,23206,,
T-Mobile/Telering,23207,,
Telefonica,23208,,
A1 MobilKom,23209,,
H3G,23210,,
A1 MobilKom,23211,,
yesss! (Orange/One Connect),23212,,
H3G,23214,,
T-Mobile/Telering,23215,,
H3G,23216,,
Azercell Telekom B.M.,40001,,
J.V. Bakcell GSM 2000,40002,,
Caspian American Telecommunications LLC (CATEL),40003,,
Azerfon.,40004,,
Special State Protection Service of the Republic of Azerbaijan,40005,,
Bahamas Telco. Comp.,36430,,
Bahamas Telco. Comp.,36439,,
Bahamas Telco. Comp.,364390,,
Batelco,42601,,
MTC Vodafone (Zain),42602,,
Civil Aviation Authority,42603,,
VIVA (Saudi Telecom Company Group),42604,,
Batelco / Royal Court,42605,,
GrameenPhone,47001,,
Robi/Axoata (formerly Aktel),47002,,
Banlalink / Orascom,47003,,
TeleTalk,47004,,
Citycell,47005,,
Citycell,47006,,
Airtel/Warid,47007,,
Digicel,342050,,
LIME (C & W BET Ltd.),342600,,
Digicel,342750,,
Cingular Wireless (AT&T),342810,,
Sunbeach,342820,,
Velcom (Mobile Digital Communications),25701,,
MTS,25702,,
BelCel JV,25703,,
Life :) (Formlery BeST),25704,,
Republican Unitary Telecommunication Enterprise (RUE) Beltelecom (National Telecommunications Operator of the Republic of Belarus),25705,,
Belorussian Cloud Technologies,25706,,
BelJel JV,257501,,
Belgacom/Proximus,20601,,
SNCT/NMBS,20602,,
Telenet BidCo NV,20605,,
Lycamobile (MVNO under Mobistar),20606,,
Mundio Mobile Belgium,20607,,
Mobistar/Orange,20610,,
Elephant Talk Communications Schweiz,20615,,
Base/KPN,20620,,
Join Experience (Belgium),20640,,
DigiCell (Belize Telemedia Ltd.),70267,,
International Telco (INTELCO),70268,,
Speednet (Smart),70299,,
Bell Benin/BBCOM,61600,,
Libercom (Benin Telecoms Mobile),61601,,
Etisalat/MOOV/Telecel Benin,61602,,
MTN/Spacetel,61603,,
Bell Benin/BBCOM,61604,,
GloMobile,61605,,
CellularOne Bermuda,31059,,
Bermuda Digital Communications Ltd (CellOne),350000,,
CellOne / Bermuda Digital Communications Ltd (BDC),35000,,
Telecommunications (Bermuda & West Indies) Ltd (Digicel Bermuda),35001,,
M3 Wireless Ltd (Mobility Ltd),35002,,
Digicell Bermuda,338050,,
DigiCel / Cingular,35010,,
CellOne Ltd,35003,,
B-Mobile,40211,,
Bhutan Telecom Ltd (BTL),40217,,
TashiCell,40277,,
Nuevatel,73601,,
Entel Pcs,73602,,
Tigo / TELECEL BOLIVIA,73603,,
United Telecommunications Services NV (UTS) (SETEL),36291,,
Eronet Mobile / Public Enterprise Croation Telecom,21803,,
M-Tel / RS Telecommunications JSC Banja Luka,21805,,
BH Mobile,21890,,
0,652,,
Mascom Wireless (Pty) Ltd.,65201,,
Orange,65202,,
BTC Mobile / Botswana Telecommunications Corporation,65204,,
Nextel (Telet) / NII Holdings  Inc.,72400,,
Vivo S.A./Telemig (Sisteer Do Brasil),72401,,
TIM (Telecom Italia),72402,,
TIM (Telecom Italia),72403,,
TIM (Telecom Italia),72404,,
Claro/Albra/America Movil,72405,,
Vivo S.A./Telemig,72406,,
CTBC/Triangulo,72407,,
TIM (Telecom Italia),72408,,
Vivo S.A./Telemig,72410,,
Vivo S.A./Telemig,72411,,
Claro/Albra/America Movil,72412,,
Sercomtel Cel,72415,,
Brazil Telcom (BRT celular),72416,,
Datora (MVNO),72418,,
Vivo S.A./Telemig,72419,,
Vivo S.A./Telemig /Amazonia,72423,,
Amazonia Celular S/A,72424,,
Oi (TNL PCS / Oi),72430,,
Oi (TNL PCS / Oi),72431,,
CTBC Celular SA (CTBC),72432,,
CTBC Celular SA (CTBC),72433,,
CTBC Celular SA (CTBC),72434,,
Telcom,72435,,
Options,72436,,
Unicel do Brasil Telecomunicacoes Ltda,72437,,
Claro/Albra/America Movil,72438,,
Nextel (Telet) / NII Holdings Inc.,72439,,
Porto Seguro Telecomunicacoes (MVNO),72454,,
Local (STFC),72499,,
LIME (Cable & Wireless),348170,,
Caribbean Cellular / CCT Boatphone,348570,,
Digicel,348770,,
Telekom Brunei Bhd (TelBru) (Jabatann Telekom Brunei),52801,,
b-mobile,52802,,
Datastream (DTSCom),52811,,
MobilTel AD,28401,,
BTC Mobile EOOD (vivatel),28403,,
Cosmo Mobile EAD/Globul,28405,,
BTC Mobile EOOD (vivatel),28406,,
TeleMob-OnaTel,61301,,
AirTel/ZAIN/CelTel,61302,,
TeleCel,61303,,
Myanmar Post & Teleco.,41401,,
Ooredoo,41405,,
Telenor Myanmar,41406,,
Spacetel / Econet,64201,,
Africel / Safaris,64202,,
Onatel / Telecel,64203,,
Smart Mobile / LACELL,64207,,
HiTs Telecom,64208,,
Leo (formerly U-COM (formerly Telecel)) / Orascom Telecom,64282,,
Mobitel/Cam GSM,45601,,
Smart Axiata (formerly Hello Axiata and Smart Mobile)/Malaysia Telcom,45602,,
QB/ Cambodia Advance Communications Co. Ltd (CADCOMMS),45603,,
QB/ Cambodia Advance Communications Co. Ltd (CADCOMMS),45604,,
Latelz Company Limited (Smart Mobile),45605,,
Latelz Company Limited (Smart Mobile),45606,,
Metfone,45608,,
Sotelco Ltd (Beeline Cambodia),45609,,
Excell,45611,,
MFone/Camshin,45618,,
MTN,62401,,
Orange,62402,,
Nextel (ex Viettel Cameroon),62404,,
Telus Mobility,302220,,
Telus Mobility,302221,,
Telus Mobility,302222,,
ALO Mobile Inc,302250,,
Bragg Communications,302270,,
Airtel Wireless,302290,,
Mobilicity / Dave Wireless,302320,,
Execulink,302340,,
FIRST Networks Operations,302350,,
Telus Mobility (Clearnet),302360,,
FIDO (Rogers AT&T/ Microcell),302370,,
DMTS Mobility  / Dryden Moblility / Keewaytinook Okimakinak,302380,,
DMTS Mobility  / Dryden Moblility,302390,,
SSi Connexions,302480,,
WIND (Globalive Wireless),302490,,
Videotron,302500,,
Videotron,302510,,
Videotron,302520,,
Keewatinook Okimakinak,302530,,
Lynx Mobility,302560,,
LightSquared,302570,,
Quadro Communication,302590,,
Bell Mobility,302610,,
Ice Wireless,302620,,
Bell Aliant,302630,,
Bell Mobility / Latitude Wireless,302640,,
Bell Mobility,302651,,
BC Tel Mobility,302652,,
Telus Mobility,302653,,
Sask Tel Mobility,302654,,
MTS Mobility,302655,,
Tbay Mobility,302656,,
Quebectel Mobility,302657,,
MTS Mobility,302660,,
